account_external_ref,external_id,client_id,total_income,total_spend,total_txn_count,gambling_spend,gambling_txn_count,gambling_days,gambling_pct_of_income,gambling_txn_pct,gambling_pct_of_spend,gambling_day_bucket,risk_score,risk_bucket,risk_reason
e0dfd281-0f57-4268-8ff9-bcb63254e0ff,e0dfd281-0f57-4268-8ff9-bcb63254e0ff,53AB51BA-8CA1-4D62-967E-0D2661FF9F01,0.0,-6.0,2,-6.0,2,1,0.0,1.0,1.0,"[0, 5)",0,🟢 Low Risk,Ignored: very low transaction count (<10)
CDDFEC816D611B3A60BDACA51AD0B6CF,CDDFEC816D611B3A60BDACA51AD0B6CF,547faf96-14e0-44d7-9a65-c5531bbb13e4,0.0,-10.0,1,-10.0,1,1,0.0,1.0,1.0,"[0, 5)",0,🟢 Low Risk,Ignored: very low transaction count (<10)
10000000000026197641,10000000000026197641,d70263c4-183a-4970-ae6a-437d3b4e1d76,0.0,-5.0,1,-5.0,1,1,0.0,1.0,1.0,"[0, 5)",0,🟢 Low Risk,Ignored: very low transaction count (<10)
acc_0000At8tp3TB8zYUc5QFxy,acc_0000At8tp3TB8zYUc5QFxy,7e60b482-55d5-46fb-a6ca-024b4ef2d396,0.0,-10.0,1,-10.0,1,1,0.0,1.0,1.0,"[0, 5)",0,🟢 Low Risk,Ignored: very low transaction count (<10)
acc_0000AujBsGCH7TikpRDua1,acc_0000AujBsGCH7TikpRDua1,accd07e9-f45f-4824-9956-a67ea2ddb070,0.0,-35.0,3,-35.0,3,1,0.0,1.0,1.0,"[0, 5)",0,🟢 Low Risk,Ignored: very low transaction count (<10)
wJoctgBdzL_2AtipmdCjsw,wJoctgBdzL_2AtipmdCjsw,d4f0a0a4-a936-4684-8696-94d261ad7b2d,0.0,-28.0,2,-28.0,2,2,0.0,1.0,1.0,"[0, 5)",0,🟢 Low Risk,Ignored: very low transaction count (<10)
10000000000026211495,10000000000026211495,ffc291ac-717b-46fb-bd7e-62a2db015f94,0.0,-70.0,3,-70.0,3,2,0.0,1.0,1.0,"[0, 5)",0,🟢 Low Risk,Ignored: very low transaction count (<10)
10000000000019850092,10000000000019850092,b0bcb766-5529-4353-8f5e-86d53d8a2c7d,0.0,-57.54,8,-37.55,7,1,0.0,0.875,0.65,"[0, 5)",0,🟢 Low Risk,Ignored: very low transaction count (<10)
C19A5C348315744C55EDC8F249E29A60,C19A5C348315744C55EDC8F249E29A60,61f62316-9d27-48ff-933e-0c01d5139dc6,1244.97,-1239.0,16,-1239.0,13,1,99.52,0.8125,1.0,"[0, 5)",0,🟢 Low Risk,Low transaction count (<20)
6ed605fe-3007-30e5-abad-cca05b0abad4,6ed605fe-3007-30e5-abad-cca05b0abad4,e75c2517-3866-49fd-8e66-bcae2e2ec881,11.0,-126.88,15,-117.0,12,1,1063.64,0.8,0.92,"[0, 5)",0,🟢 Low Risk,Low transaction count (<20)
